x-coord,y-coord,z-coord
519910.41,7701489.86,-230.00
519913.26,7701500.05,-230.00
519923.45,7701534.81,-230.00
519924.56,7701538.74,-230.00
519924.90,7701539.86,-230.00
519936.00,7701577.30,-230.00
519939.93,7701589.86,-230.00
519947.93,7701614.34,-230.00
519956.11,7701639.86,-230.00
519973.45,7701689.33,-230.00
519973.63,7701689.86,-230.00
519973.75,7701690.16,-230.00
519992.61,7701739.86,-230.00
520005.95,7701772.36,-230.00
520013.09,7701789.86,-230.00
520023.45,7701813.53,-230.00
520035.14,7701839.86,-230.00
520045.58,7701861.99,-230.00
520058.70,7701889.86,-230.00
520073.45,7701919.56,-230.00
520083.73,7701939.86,-230.00
520095.31,7701961.73,-230.00
520110.23,7701989.86,-230.00
520123.45,7702013.87,-230.00
520138.11,7702039.86,-230.00
520158.55,7702074.96,-230.00
520167.24,7702089.86,-230.00
520173.45,7702100.24,-230.00
520197.83,7702139.86,-230.00
520223.45,7702180.69,-230.00
520229.38,7702189.86,-230.00
520240.72,7702207.13,-230.00
520262.26,7702239.86,-230.00
520273.45,7702256.68,-230.00
520296.24,7702289.86,-230.00
520323.45,7702329.28,-230.00
520331.01,7702339.86,-230.00
520350.04,7702366.45,-230.00
520366.83,7702389.86,-230.00
520373.45,7702399.10,-230.00
520403.69,7702439.86,-230.00
520423.45,7702466.67,-230.00
520441.21,7702489.86,-230.00
520473.45,7702532.39,-230.00
520479.34,7702539.86,-230.00
520498.77,7702564.53,-230.00
520518.34,7702589.86,-230.00
520520.57,7702592.73,-230.00
520523.45,7702594.34,-230.00
520549.56,7702613.74,-230.00
520573.45,7702620.73,-230.00
520588.90,7702624.40,-230.00
520623.45,7702633.14,-230.00
520629.05,7702634.25,-230.00
520655.26,7702639.86,-230.00
520670.28,7702643.03,-230.00
520673.45,7702643.74,-230.00
520712.77,7702650.53,-230.00
520723.45,7702652.52,-230.00
520756.35,7702656.95,-230.00
520773.45,7702659.49,-230.00
520801.12,7702662.18,-230.00
520823.45,7702664.65,-230.00
520847.21,7702666.09,-230.00
520873.45,7702668.01,-230.00
520894.77,7702668.53,-230.00
520923.45,7702669.58,-230.00
520943.94,7702669.36,-230.00
520973.45,7702669.39,-230.00
520994.90,7702668.40,-230.00
521023.45,7702667.42,-230.00
521047.83,7702665.47,-230.00
521073.45,7702663.70,-230.00
521102.95,7702660.35,-230.00
521123.45,7702658.24,-230.00
521160.50,7702652.81,-230.00
521173.45,7702651.04,-230.00
521220.74,7702642.57,-230.00
521223.45,7702642.11,-230.00
521225.32,7702641.73,-230.00
521234.11,7702639.86,-230.00
521273.45,7702631.43,-230.00
521306.89,7702623.30,-230.00
521323.45,7702619.03,-230.00
521346.35,7702612.76,-230.00
521373.45,7702604.93,-230.00
521385.00,7702601.41,-230.00
521421.18,7702589.86,-230.00
521422.90,7702589.31,-230.00
521423.45,7702589.13,-230.00
521460.05,7702576.46,-230.00
521473.45,7702571.60,-230.00
521496.54,7702562.95,-230.00
521523.45,7702552.43,-230.00
521532.41,7702548.82,-230.00
521553.81,7702539.86,-230.00
521567.68,7702534.09,-230.00
521573.45,7702531.60,-230.00
521602.38,7702518.79,-230.00
521623.45,7702509.12,-230.00
521636.57,7702502.98,-230.00
521663.63,7702489.86,-230.00
521670.25,7702486.66,-230.00
521673.45,7702485.07,-230.00
521703.46,7702469.87,-230.00
521723.45,7702459.43,-230.00
521736.24,7702452.65,-230.00
521759.64,7702439.86,-230.00
521768.59,7702435.00,-230.00
521773.45,7702432.28,-230.00
521800.54,7702416.95,-230.00
521823.45,7702403.62,-230.00
521832.12,7702398.53,-230.00
521846.51,7702389.86,-230.00
521863.34,7702379.75,-230.00
521873.45,7702373.53,-230.00
521894.23,7702360.64,-230.00
521923.45,7702342.07,-230.00
521924.79,7702341.20,-230.00
521926.85,7702339.86,-230.00
521955.06,7702321.47,-230.00
521973.45,7702309.20,-230.00
521985.03,7702301.45,-230.00
522001.97,7702289.86,-230.00
522014.73,7702281.15,-230.00
522023.45,7702275.07,-230.00
522044.18,7702260.59,-230.00
522073.27,7702239.86,-230.00
522073.37,7702239.78,-230.00
522073.45,7702239.73,-230.00
522102.34,7702218.76,-230.00
522123.45,7702203.14,-230.00
522131.08,7702197.49,-230.00
522141.22,7702189.86,-230.00
522159.61,7702176.02,-230.00
522173.45,7702165.43,-230.00
522187.94,7702154.36,-230.00
522206.58,7702139.86,-230.00
522216.08,7702132.49,-230.00
522223.45,7702126.66,-230.00
522244.04,7702110.45,-230.00
522269.76,7702089.86,-230.00
522271.81,7702088.22,-230.00
522273.45,7702086.89,-230.00
522299.44,7702065.85,-230.00
522323.45,7702046.11,-230.00
522326.89,7702043.30,-230.00
522331.03,7702039.86,-230.00
522354.21,7702020.62,-230.00
522373.45,7702004.41,-230.00
522381.37,7701997.78,-230.00
522390.70,7701989.86,-230.00
522408.41,7701974.82,-230.00
522423.45,7701961.86,-230.00
522435.31,7701951.72,-230.00
522448.99,7701939.86,-230.00
522462.09,7701928.50,-230.00
522473.45,7701918.51,-230.00
522488.75,7701905.16,-230.00
522506.07,7701889.86,-230.00
522515.29,7701881.71,-230.00
522523.45,7701874.40,-230.00
522541.75,7701858.16,-230.00
522562.11,7701839.86,-230.00
522568.08,7701834.49,-230.00
522573.45,7701829.60,-230.00
522594.34,7701810.75,-230.00
